label,lora_path,steps,guidance_scale,image_guidance_scale,scheduler,clip_text_alignment,clip_image_to_target,clip_image_to_source,score
dpm_t3.5_i2.8,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,3.5,2.8,dpm,0.3042078763246536,0.9589197039604187,0.8970194657643636,1.2447963538269202
dpm_t3.5_i2.2,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,3.5,2.2,dpm,0.3019680877526601,0.9546890954176585,0.8813776075839996,1.2366534476478894
euler_a_t3.5_i1.6,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,3.5,1.6,euler_a,0.30256136258443195,0.948965460062027,0.894470194975535,1.2337559759616852
dpm_t4.5_i2.8,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,4.5,2.8,dpm,0.29851797719796497,0.9524557987848917,0.8832648694515228,1.2335900646944842
euler_a_t3.5_i2.8,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,3.5,2.8,euler_a,0.30425627032915753,0.9461761911710104,0.9008757571379343,1.2328410372138023
dpm_t3.5_i1.6,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,3.5,1.6,dpm,0.297465721766154,0.9511261681715647,0.8764130572477976,1.2305217822392782
dpm_t5.5_i2.8,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,5.5,2.8,dpm,0.2917903959751129,0.9511265556017557,0.8852002223332723,1.2302932386596996
dpm_t5.5_i2.2,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,5.5,2.2,dpm,0.2923773229122162,0.9502961238225301,0.8850211898485819,1.2296324248115222
dpm_t4.5_i1.6,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,4.5,1.6,dpm,0.29145727554957074,0.9494130710760752,0.876797745625178,1.2267826666434605
euler_a_t3.5_i2.2,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,3.5,2.2,euler_a,0.2985214293003082,0.9427608648935953,0.884378582239151,1.2241190815965335
euler_a_t4.5_i1.6,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,4.5,1.6,euler_a,0.29828354219595593,0.9418498277664185,0.8838287095228831,1.2230148094395799
dpm_t4.5_i2.2,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,4.5,2.2,dpm,0.29500332474708557,0.9454996585845947,0.869777500629425,1.2227063223719596
euler_a_t4.5_i2.8,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,4.5,2.8,euler_a,0.3005257497231166,0.9392516414324442,0.8854262928167979,1.2215209123988946
euler_a_t4.5_i2.2,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,4.5,2.2,euler_a,0.29807452360788983,0.9394678473472595,0.8832742969195048,1.220448789993922
dpm_t5.5_i1.6,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,5.5,1.6,dpm,0.2901638100544612,0.9418807923793793,0.8815571069717407,1.2197495472927888
euler_a_t5.5_i2.2,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,5.5,2.2,euler_a,0.2946244527896245,0.938441793123881,0.8790620466073354,1.2173727609217166
euler_a_t5.5_i2.8,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,5.5,2.8,euler_a,0.29636250436306,0.9357249637444814,0.877133826414744,1.2148786055545013
euler_a_t5.5_i1.6,artifacts/emoji_diffusion_editor_60k/checkpoints/checkpoint-60000/lora,40,5.5,1.6,euler_a,0.2938222090403239,0.93642591436704,0.8766725262006124,1.214598192771276
